000000534889.jpg	Out:	tennis racket	0.5278381	[6.80046147108078, 326.1978530883789, 107.79583382606506, 402.5986099243164]
000000073035.jpg	Out:	surfboard	0.71430564	[15.101814270019531, 196.84889459609985, 360.06385803222656, 472.3684515953064]
000000546188.jpg	Out:	surfboard	0.82353425	[338.25347900390625, 312.65365982055664, 409.42405700683594, 330.4546365737915]
000000215081.jpg	Out:	bottle	0.94526035	[149.3747615814209, 133.35833358764648, 312.5321960449219, 198.74437522888184]
000000215081.jpg	Out:	bottle	0.7429906	[83.99824142456055, 116.28126668930054, 150.22001266479492, 357.41613578796387]
000000215081.jpg	Out:	bottle	0.6894652	[142.55786895751953, 41.66767501831055, 167.7857780456543, 107.5061559677124]
000000215081.jpg	Out:	bottle	0.5369453	[160.09164810180664, 41.408177733421326, 183.9656639099121, 108.9532356262207]
000000215081.jpg	Out:	bottle	0.49466628	[110.48219680786133, 42.8836008310318, 134.78193283081055, 106.74687623977661]
000000215081.jpg	Out:	bottle	0.4244875	[483.1777572631836, 176.62104320526123, 506.58199310302734, 241.4560775756836]
000000215081.jpg	Out:	bottle	0.2895916	[129.95174407958984, 47.37798321247101, 147.33123779296875, 106.11979293823242]
000000215081.jpg	Out:	bottle	0.22041962	[87.22465515136719, 41.79965579509735, 109.74742889404297, 109.51284313201904]
000000215081.jpg	Out:	bottle	0.13069199	[502.2960662841797, 171.8768162727356, 525.379638671875, 238.10705852508545]
000000215081.jpg	Out:	bottle	0.11772575	[91.21562957763672, 40.96617650985718, 105.09368896484375, 74.22204923629761]
000000215081.jpg	Out:	bottle	0.10969199	[251.84741973876953, 188.73471879959106, 270.9595489501953, 238.36815547943115]
000000429119.jpg	Out:	surfboard	0.11523821	[128.58575582504272, 92.38584101200104, 323.75091314315796, 129.73518192768097]
000000429119.jpg	Out:	clock	0.3861025	[165.45304656028748, 13.957307189702988, 173.73016476631165, 25.987717509269714]
000000177277.jpg	Out:	chair	0.86188567	[499.3180465698242, 12.018907070159912, 550.9094619750977, 67.39250421524048]
000000177277.jpg	Out:	chair	0.68811935	[453.2145690917969, 8.72913122177124, 486.35643005371094, 68.48525762557983]
000000177277.jpg	Out:	chair	0.21863984	[626.0274505615234, 28.32204580307007, 640.2240753173828, 98.39120149612427]
000000177277.jpg	Out:	chair	0.106486164	[398.3201599121094, 7.414505481719971, 447.30079650878906, 166.7501163482666]
000000177277.jpg	Out:	tv	0.9282133	[-1.2525749206542969, 2.811870574951172, 426.5557098388672, 279.7950553894043]
000000177277.jpg	Out:	tv	0.21054396	[493.8813781738281, -0.1934744417667389, 515.3687286376953, 13.263364434242249]
000000177277.jpg	Out:	mouse	0.9952232	[464.6805953979492, 362.93057441711426, 582.9321670532227, 435.4212284088135]
000000177277.jpg	Out:	keyboard	0.7287516	[150.00659942626953, 411.7784786224365, 544.5232772827148, 478.1806468963623]
000000177277.jpg	Out:	book	0.5618752	[578.7191390991211, 3.0439692735671997, 589.9147415161133, 15.699512958526611]
000000177277.jpg	Out:	book	0.51669735	[569.9407196044922, 20.07999300956726, 579.5884704589844, 31.423040628433228]
000000177277.jpg	Out:	book	0.44760394	[571.4949035644531, 2.686104029417038, 579.9613189697266, 15.482198596000671]
000000177277.jpg	Out:	book	0.4207531	[571.8760681152344, 33.897414207458496, 579.7650146484375, 46.04632616043091]
000000177277.jpg	Out:	book	0.38722125	[579.8073196411133, 18.800953030586243, 589.871711730957, 30.852656364440918]
000000177277.jpg	Out:	book	0.27673316	[563.2780075073242, 2.5222232937812805, 570.5529403686523, 14.92762416601181]
000000177277.jpg	Out:	book	0.26457462	[580.2127075195312, 33.560729026794434, 589.1851806640625, 45.387961864471436]
000000177277.jpg	Out:	book	0.2521828	[589.1785430908203, 2.0480789244174957, 596.3349151611328, 15.827288031578064]
000000177277.jpg	Out:	book	0.22603112	[587.6274490356445, 19.140100479125977, 596.0989761352539, 31.072347164154053]
000000177277.jpg	Out:	book	0.22451521	[562.378044128418, 20.469599962234497, 569.7938919067383, 31.016485691070557]
000000177277.jpg	Out:	book	0.20368414	[562.7861785888672, 34.33101296424866, 570.5982971191406, 46.1962616443634]
000000177277.jpg	Out:	book	0.105156094	[589.2121505737305, 34.245901107788086, 594.5077133178711, 44.924468994140625]
000000061585.jpg	Out:	umbrella	0.5728162	[0.49973487854003906, 3.0808353424072266, 228.72920036315918, 140.60717582702637]
000000061585.jpg	Out:	umbrella	0.35882673	[174.6503448486328, 106.7768383026123, 398.9912223815918, 188.37482452392578]
000000061585.jpg	Out:	skateboard	0.8764147	[187.54016876220703, 440.82244873046875, 315.2025604248047, 525.335693359375]
000000208761.jpg	Out:	handbag	0.4867764	[12.22149282693863, 60.29120934009552, 254.65336441993713, 279.1311745643616]
000000501758.jpg	Out:	bottle	0.90268075	[593.4556579589844, 22.308404445648193, 621.3628387451172, 86.22337818145752]
000000501758.jpg	Out:	bottle	0.34375882	[456.312255859375, 228.8554573059082, 466.2364196777344, 254.84132766723633]
000000501758.jpg	Out:	bottle	0.12498677	[489.60506439208984, 230.3278684616089, 500.3347396850586, 284.5688724517822]
000000501758.jpg	Out:	clock	0.88656837	[0.579138994216919, 74.54986095428467, 29.666385650634766, 116.1685037612915]
000000409066.jpg	Out:	chair	0.8554721	[534.5501708984375, 292.5938390493393, 628.9846038818359, 406.37802278995514]
